Brake,0.29,-0.31,2.67,6.55,1.56517E+12,12.99311451,77.70477501,07-08-2019
Brake,0.36,-0.6,2.96,6.55,1.56517E+12,12.99311451,77.70477501,07-08-2019
Brake,0.37,-0.52,2.65,6.55,1.56517E+12,12.99311451,77.70477501,07-08-2019
Acceleration,-1.07,-0.28,-1.54,2.24,1.56517E+12,12.99312855,77.7052544,07-08-2019
Brake,-0.48,-0.33,2.1,3.3,1.56517E+12,12.99304711,77.70516144,07-08-2019
Speeding,-0.48,-0.33,2.1,9.14,1.56517E+12,12.99304711,77.70516144,07-08-2019
Turn,-1.29,-0.19,-0.74,5.7,1.56517E+12,12.99334952,77.70317546,07-08-2019
Speeding,-0.11,-0.13,-0.31,9.07,1.56517E+12,12.99299284,77.70314943,07-08-2019
Brake,0.76,-2.34,5.1,0,1.56569E+12,0,0,13-08-2019
Turn,1.95,0,1.24,0,1.56569E+12,0,0,13-08-2019
Turn,1.31,0.13,-0.43,0,1.56569E+12,0,0,13-08-2019
Acceleration,1.15,0.07,-1.61,0,1.56569E+12,0,0,13-08-2019
Turn,1.38,-0.37,1.48,0,1.56569E+12,0,0,13-08-2019
Brake,0.59,-1.54,2.46,0,1.56569E+12,0,0,13-08-2019
Turn,3.5,-9.63,9.53,0,1.56569E+12,0,0,13-08-2019
Acceleration,0.68,0.14,-1.52,0,1.56569E+12,12.98973734,77.70334886,13-08-2019
Brake,1.86,-6.33,6.3,0.67,1.56569E+12,12.98976055,77.70336888,13-08-2019
Turn,1.86,-6.33,6.3,0.67,1.56569E+12,12.98976055,77.70336888,13-08-2019
Turn,1.97,-5.06,7.18,0.67,1.56569E+12,12.98976055,77.70336888,13-08-2019
Turn,-1.42,-5.8,6.99,0.67,1.56569E+12,12.98976055,77.70336888,13-08-2019
Turn,2.77,-1.04,0.46,0,1.56585E+12,0,0,15-08-2019
Acceleration,2.63,1.45,-1.35,0,1.56585E+12,0,0,15-08-2019
Turn,1.3,3.09,-3.88,0,1.56585E+12,0,0,15-08-2019
Turn,2.01,2.79,-3.26,0,1.56585E+12,0,0,15-08-2019
Turn,1.95,0.68,-0.35,0,1.56585E+12,0,0,15-08-2019
Acceleration,1.96,1.56,-1.37,0,1.56585E+12,0,0,15-08-2019
Turn,2.05,2.04,-2.02,0,1.56585E+12,0,0,15-08-2019
Turn,1.54,2.91,-3.44,0,1.56585E+12,0,0,15-08-2019
Brake,1.2,-6.32,3.27,0,1.56585E+12,0,0,15-08-2019
Turn,1.66,-6.1,2.51,0,1.56586E+12,0,0,15-08-2019
Brake,1.01,-5.88,2.75,0,1.56586E+12,0,0,15-08-2019
Turn,5.57,-3.82,0.37,0,1.56586E+12,0,0,15-08-2019
Turn,1.93,0.25,-0.45,0,1.56586E+12,0,0,15-08-2019
Turn,1.45,-0.42,0.55,0,1.56586E+12,0,0,15-08-2019
Turn,1.48,0.33,-0.88,0,1.56586E+12,0,0,15-08-2019
Acceleration,2.22,1.43,-1.26,0,1.56586E+12,0,0,15-08-2019
Turn,-1.35,2.17,-2.42,0,1.56586E+12,0,0,15-08-2019
Turn,3.15,1.05,-1.29,0,1.56586E+12,0,0,15-08-2019
Turn,1.34,1.28,-0.96,0,1.56586E+12,0,0,15-08-2019
Acceleration,-0.04,1.53,-1.36,0,1.56586E+12,0,0,15-08-2019
Acceleration,-0.27,1.42,-1.26,0,1.56586E+12,0,0,15-08-2019
Turn,-1.38,-3.91,1.83,0,1.56586E+12,0,0,15-08-2019
Brake,-0.12,-4.36,2.03,0,1.56586E+12,0,0,15-08-2019
Turn,-1.64,-3.72,1.57,0,1.56586E+12,0,0,15-08-2019
Acceleration,0.66,2.32,-3.32,0,1.56586E+12,0,0,15-08-2019
Turn,2.34,0.97,-0.51,0,1.56586E+12,0,0,15-08-2019
Brake,0.23,-9.13,5.73,0,1.56586E+12,0,0,15-08-2019
Turn,-1.84,-10.49,9.34,0,1.56586E+12,0,0,15-08-2019
Turn,-2.01,-16.83,8.85,0,1.56586E+12,0,0,15-08-2019
Turn,-1.29,-14.27,8.99,0,1.56586E+12,0,0,15-08-2019
Turn,-2.39,-8.56,9.19,0,1.56586E+12,0,0,15-08-2019
Turn,-1.53,-9.37,9.5,0,1.56586E+12,0,0,15-08-2019
Turn,-2.8,-4.55,7.18,0,1.56586E+12,12.98953873,77.70326367,15-08-2019
Turn,-1.92,-5.06,7.91,0,1.56586E+12,12.98953873,77.70326367,15-08-2019
Turn,-1.32,-3.89,7.42,0,1.56586E+12,12.98953873,77.70326367,15-08-2019
Turn,-1.44,-3.51,6.67,0,1.56586E+12,12.98953873,77.70326367,15-08-2019
Brake,2.08,-4.49,7.41,0,1.56586E+12,12.98953873,77.70326367,15-08-2019
Turn,2.08,-4.49,7.41,0,1.56586E+12,12.98953873,77.70326367,15-08-2019
Turn,1.52,-8.58,9,0,1.56587E+12,12.98953873,77.70326367,15-08-2019
Brake,-0.46,-1.59,4.19,0,1.56587E+12,12.98953873,77.70326367,15-08-2019
Turn,-1.27,-3.01,6.59,0,1.56587E+12,12.98953873,77.70326367,15-08-2019
Turn,-1.93,-5.03,7.84,0,1.56587E+12,12.98953873,77.70326367,15-08-2019
Turn,-4.08,-9.02,7.52,0,1.56587E+12,12.98953873,77.70326367,15-08-2019
