No event,NaN,NaN,NaN,0.00,1565228554786
No event,0.35,9.74,-0.56,0.00,1565228555784
No event,0.00,-0.01,-0.03,0.00,1565228556785
No event,-0.01,-0.01,-0.04,0.00,1565228557785
No event,0.16,-0.01,0.01,0.00,1565228558785
No event,-0.23,-0.00,-0.04,0.00,1565228559785
No event,-0.04,-0.01,0.26,0.00,1565228560786
No event,0.05,0.02,0.38,0.00,1565228561785
No event,0.10,0.00,0.34,0.00,1565228562786
No event,0.10,0.00,0.35,0.00,1565228563786
No event,0.17,0.00,0.40,0.00,1565228564787
No event,0.43,-0.27,0.53,0.00,1565228565787
No event,0.26,-0.01,0.22,0.00,1565228566788
No event,0.05,0.01,0.18,0.00,1565228567790
No event,0.15,-0.01,0.18,0.00,1565228568789
No event,0.22,0.03,0.18,0.00,1565228569789
No event,0.23,-0.05,-0.38,0.00,1565228570788
No event,0.55,-0.10,-0.27,0.00,1565228571788
No event,-0.53,-0.16,-0.19,0.00,1565228572789
No event,0.05,0.03,-0.70,0.00,1565228573789
No event,-0.08,-0.09,0.01,0.00,1565228574789
No event,-0.23,0.05,0.26,0.00,1565228575789
No event,-0.20,0.05,-0.26,0.00,1565228576789
No event,-0.39,-0.17,-0.13,0.00,1565228577789
No event,-0.31,-0.02,-0.15,0.00,1565228578790
No event,-0.34,0.22,-0.33,0.00,1565228579790
No event,-0.05,-0.05,0.30,0.00,1565228580790
No event,-0.06,-0.04,-0.28,0.00,1565228581790
No event,0.03,-0.26,0.07,0.00,1565228582790
No event,0.11,0.07,-0.03,0.00,1565228583790
No event,0.32,0.22,0.01,0.00,1565228584792
No event,-0.17,-0.19,-0.20,0.00,1565228585792
No event,-0.18,0.08,-0.13,0.00,1565228586792
No event,-0.47,-0.06,-0.20,0.00,1565228587793
No event,-0.78,0.08,-0.18,0.00,1565228588795
No event,-0.17,-0.15,-0.16,0.00,1565228589796
No event,0.53,-0.04,-0.12,0.00,1565228590797
No event,0.13,-0.09,-0.09,0.00,1565228591798
No event,0.20,-0.03,-0.03,0.00,1565228592799
No event,-0.18,0.04,0.09,5.59,1565228593800
No event,-0.08,0.02,0.27,5.59,1565228594802
No event,-0.22,0.02,-0.04,5.59,1565228595802
No event,-0.26,-0.08,0.19,5.59,1565228596803
No event,-0.42,-0.08,0.20,5.59,1565228597803
No event,-0.28,0.07,-0.01,3.36,1565228598803
No event,-0.42,-0.01,0.03,3.36,1565228599804
No event,-0.95,0.01,-0.34,3.36,1565228600803
No event,-1.78,-0.05,-0.36,3.36,1565228601804
No event,-2.14,-0.00,-0.19,3.36,1565228602804
No event,-0.82,-0.07,0.21,9.26,1565228603805
No event,0.04,0.05,0.89,9.26,1565228604805
No event,0.08,0.08,1.24,9.26,1565228605806
No event,0.23,0.18,0.46,9.26,1565228606806
No event,-0.42,0.17,0.31,9.26,1565228607806
No event,-0.41,-0.01,-0.01,6.83,1565228608807
No event,0.09,-0.32,-0.20,6.83,1565228609808
No event,-1.49,-0.04,-0.68,6.83,1565228610808
No event,-1.58,0.12,-0.73,6.83,1565228611808
No event,-1.00,-0.18,-0.41,6.83,1565228612808
No event,-0.43,-0.21,-0.47,6.94,1565228613809
No event,-0.48,-0.02,-0.36,6.94,1565228614809
No event,-0.77,0.10,-0.43,6.94,1565228615809
No event,-0.66,0.00,-0.23,6.94,1565228616809
No event,-0.57,-0.04,0.30,6.94,1565228617810
No event,-0.14,-0.17,0.47,8.55,1565228618810
No event,-0.28,0.07,0.41,8.55,1565228619810
No event,-0.33,0.17,1.40,8.55,1565228620812
No event,-0.59,-0.22,0.77,8.55,1565228621811
No event,-0.72,0.42,1.13,8.55,1565228622812
No event,-0.35,-0.11,0.82,8.55,1565228623814
No event,-0.69,-0.04,0.02,8.55,1565228624814
No event,-0.18,0.20,0.44,8.55,1565228625814
No event,-0.19,0.08,-0.07,8.55,1565228626814
No event,-0.55,0.01,0.38,8.55,1565228627815
No event,-0.30,-0.00,0.07,4.60,1565228628815
No event,-0.80,0.13,0.19,4.60,1565228629816
No event,-0.18,-0.18,-0.04,4.60,1565228630816
No event,-0.50,0.14,-0.24,4.60,1565228631816
No event,-0.06,-0.20,-0.06,4.60,1565228632817
No event,0.04,-0.08,0.22,4.60,1565228633817
No event,0.06,0.02,-0.13,4.60,1565228634818
No event,-0.22,0.06,0.00,4.60,1565228635818
No event,0.13,-0.00,-0.07,4.60,1565228636819
No event,0.08,-0.06,0.11,3.55,1565228637819
No event,-0.02,0.11,0.67,3.55,1565228638819
No event,-0.29,0.07,0.30,3.55,1565228639820
No event,-0.21,0.10,0.09,3.55,1565228640820
No event,0.09,-0.10,-0.05,3.55,1565228641821
No event,-0.01,0.05,-0.12,3.01,1565228642821
No event,0.13,-0.19,-0.46,3.01,1565228643822
No event,-0.38,0.17,-0.40,3.01,1565228644822
No event,-0.06,0.01,0.32,3.01,1565228645823
No event,0.04,0.10,0.45,3.01,1565228646823
No event,-0.27,0.05,0.21,1.95,1565228647824
No event,-0.25,0.03,0.81,1.95,1565228648824
No event,-0.60,-0.01,0.15,1.95,1565228649825
No event,-0.61,0.02,-0.32,1.95,1565228650824
No event,-0.54,-0.09,-0.45,1.95,1565228651825
No event,-0.77,0.03,-0.45,1.95,1565228652824
No event,-0.60,0.15,0.15,1.95,1565228653825
No event,-0.60,-0.02,0.82,1.95,1565228654825
No event,-0.67,-0.06,0.32,1.95,1565228655826
No event,-0.68,0.05,-0.34,1.49,1565228656826
No event,-0.82,-0.15,-0.52,1.49,1565228657827
No event,-1.31,-0.18,-0.63,1.49,1565228658827
No event,-1.26,-0.18,-0.11,1.49,1565228659827
No event,-1.23,0.14,-0.60,1.49,1565228660827
No event,-0.84,-0.06,-0.29,2.75,1565228661828
No event,-0.54,-0.11,-0.57,2.75,1565228662827
No event,-0.35,-0.03,-0.39,2.75,1565228663828
No event,-0.42,0.04,-0.14,2.75,1565228664828
No event,-0.52,-0.01,0.52,2.75,1565228665829
No event,-0.41,0.31,-0.17,6.31,1565228666830
