No event,0.89,0.31,1,0,1.56143E+12,,
Brake,-0.07,0.24,1.08,0,1.56143E+12,0,0
No event,-0.54,0.01,0.1,0,1.56143E+12,,
No event,-0.56,-0.03,-0.11,0,1.56143E+12,,
No event,-0.55,-0.21,-1.26,0,1.56143E+12,,
No event,-0.45,-0.21,-1.19,0,1.56143E+12,,
No event,-0.41,-0.24,-0.51,0,1.56143E+12,,
No event,0.11,-0.01,-0.79,0,1.56143E+12,,
No event,-0.23,-0.07,-1.29,0,1.56143E+12,,
No event,-0.28,-0.2,-1.21,0,1.56143E+12,,
No event,-0.19,-0.2,-1.29,0,1.56143E+12,,
No event,0.24,-0.16,-1.04,0,1.56143E+12,,
Acceleration,-0.36,-0.21,-1.29,0,1.56143E+12,0,0
No event,-0.18,-0.17,-0.92,0,1.56143E+12,,
No event,-0.25,-0.11,-0.94,0,1.56143E+12,,
No event,-0.25,-0.1,-1.04,0,1.56143E+12,,
No event,-0.64,-0.35,-0.56,0,1.56143E+12,,
No event,-0.66,-0.31,-0.8,0,1.56143E+12,,
No event,-1.15,-0.09,-0.48,0,1.56143E+12,,
No event,-0.53,-0.07,-0.28,0,1.56143E+12,,
No event,-0.07,0,0.18,0,1.56143E+12,,
No event,0.78,0.05,1.29,0,1.56143E+12,,
No event,-0.22,0.1,1.39,0,1.56143E+12,,
No event,-0.61,0.12,1.5,0,1.56143E+12,,
No event,-0.65,0.16,1.77,0,1.56143E+12,,
No event,-0.44,0.03,2.19,0,1.56143E+12,,
No event,-0.18,0.11,1.96,0,1.56143E+12,,
No event,-0.1,0.13,2.29,0,1.56143E+12,,
No event,-0.17,-0.07,2.76,0,1.56143E+12,,
No event,0,0.12,3.02,0,1.56143E+12,,
No event,0.19,-0.1,1.71,0,1.56143E+12,,
No event,0.09,0.05,1.41,0,1.56143E+12,,
No event,-0.01,0.01,1.03,0,1.56143E+12,,
No event,-0.05,0.02,1.27,0,1.56143E+12,,
No event,-0.03,-0.05,2.28,0,1.56143E+12,,
No event,0.2,0.05,0.75,0,1.56143E+12,,
No event,-0.12,0.23,1.13,0,1.56143E+12,,
No event,0.35,-0.03,0.88,0,1.56143E+12,,
No event,-0.28,0.17,0.59,0,1.56143E+12,,
No event,-0.16,-0.11,1.22,0,1.56143E+12,,
No event,-0.3,-0.19,1.77,0,1.56143E+12,,
No event,-0.79,0.15,1.77,0,1.56143E+12,,
No event,-1.06,0.04,2.23,0,1.56143E+12,,
No event,-0.97,0.18,2.62,0,1.56143E+12,,
No event,-0.67,0.14,2.01,0,1.56143E+12,,
Brake,-0.68,0.03,1.45,0,1.56143E+12,0,0
No event,-0.65,0.08,1.3,0,1.56143E+12,,
No event,-0.55,0.04,1.39,0,1.56143E+12,,
No event,-0.52,0.05,1.24,0,1.56143E+12,,
No event,-0.65,0.12,0.89,0,1.56143E+12,,
No event,0.34,-0.01,1.75,0,1.56143E+12,,
No event,0.05,0.06,1.25,0,1.56143E+12,,
No event,-0.13,0.04,1.22,0,1.56143E+12,,
No event,-0.07,0.06,1.31,0,1.56143E+12,,
No event,-0.04,0.05,1.27,0,1.56143E+12,,
No event,-0.09,0.09,1.21,0,1.56143E+12,,
No event,-0.05,0.06,1.23,0,1.56143E+12,,
No event,-0.06,0.08,1.16,0,1.56143E+12,,
No event,-0.02,0.05,0.84,0,1.56143E+12,,
No event,-0.14,0.07,1.14,0,1.56143E+12,,
No event,-0.09,0.03,0.74,0,1.56143E+12,,
No event,-0.1,0.06,0.67,0,1.56143E+12,,
No event,-0.32,0.14,0.8,0,1.56143E+12,,
No event,-0.08,0.01,0.58,0,1.56143E+12,,
No event,-0.61,0.13,1.18,0,1.56143E+12,,
No event,-0.35,0.02,2.35,0,1.56143E+12,,
No event,-0.08,0.04,1.57,0,1.56143E+12,,
No event,-0.24,0.06,0.73,0,1.56143E+12,,
No event,-0.38,0.07,0.5,0,1.56143E+12,,
No event,-0.14,0.08,-0.16,0,1.56143E+12,,
No event,-0.56,-0.08,0.13,0,1.56143E+12,,
No event,-0.24,0.17,-0.33,0,1.56143E+12,,
No event,-0.28,0.04,0.06,0,1.56143E+12,,
No event,-0.48,-0.05,0.19,0,1.56143E+12,,
No event,-0.24,0.06,0.23,0,1.56143E+12,,
No event,-0.5,0.15,0.84,0,1.56143E+12,,
No event,-0.45,0.07,0.36,0,1.56143E+12,,
No event,-0.43,0.01,0.44,0,1.56143E+12,,
No event,-0.24,0.1,0.58,0,1.56143E+12,,
No event,-0.39,0.08,0.81,0,1.56143E+12,,
No event,-0.39,0.15,1.38,0,1.56143E+12,,
No event,-0.47,0.14,1.43,0,1.56143E+12,,
No event,-0.2,0.1,1.36,0,1.56143E+12,,
No event,-0.25,-0.01,2.39,0,1.56143E+12,,
No event,-0.14,0.07,0.93,0,1.56143E+12,,
No event,-0.22,0,-0.13,0,1.56143E+12,,
No event,-0.24,0.06,0.57,0,1.56143E+12,,
No event,-0.23,0.07,0.7,0,1.56143E+12,,
No event,-0.26,0.07,0.75,0,1.56143E+12,,
No event,-0.31,0.07,0.75,0,1.56143E+12,,
No event,-0.22,0.08,0.63,0,1.56143E+12,,
No event,-0.2,0.07,0.65,0,1.56143E+12,,
No event,-0.3,0.08,0.7,0,1.56143E+12,,
No event,-0.22,0.02,1.06,0,1.56143E+12,,
No event,-0.14,0.07,0.85,0,1.56143E+12,,
No event,-0.2,0.09,0.95,0,1.56143E+12,,
No event,-0.15,0.07,0.91,0,1.56143E+12,,
No event,-0.17,0.09,0.92,0,1.56143E+12,,
No event,0.03,-0.06,1.07,0,1.56143E+12,,
No event,-0.19,-0.01,-0.34,0,1.56143E+12,,
No event,-0.3,0.1,0.88,0,1.56143E+12,,
No event,-0.2,0.1,0.86,0,1.56143E+12,,
No event,-0.14,-0.01,0.65,0,1.56143E+12,,
No event,-0.16,0.06,0.64,0,1.56143E+12,,
No event,-0.17,0.09,0.7,0,1.56143E+12,,
No event,-0.2,0.08,0.7,0,1.56143E+12,,
No event,NaN,NaN,NaN,0,1.56143E+12,,
No event,0,9.74,-0.52,0,1.56143E+12,,
No event,0.03,-0.02,-0.23,0,1.56143E+12,,
No event,0.03,0.06,-0.19,0,1.56143E+12,,
No event,0.11,0.17,-0.29,0,1.56143E+12,,
No event,0.01,-0.09,-0.21,0,1.56143E+12,,
No event,0.17,0.03,-0.15,0,1.56143E+12,,
No event,-0.05,0.01,-0.18,0,1.56143E+12,,
No event,0.3,-0.03,-0.32,0,1.56143E+12,,
No event,-0.04,-0.01,-0.06,0,1.56143E+12,,
No event,0,0.09,0.33,0,1.56143E+12,,
No event,-0.06,-0.09,0.5,0,1.56143E+12,,
No event,0.06,0.11,0.13,0,1.56143E+12,,
No event,-0.03,-0.24,0.37,0,1.56143E+12,,
No event,-0.09,0.21,0.6,0,1.56143E+12,,
No event,0.05,0.06,0.39,0,1.56143E+12,,
No event,-0.2,-0.05,0.71,0,1.56143E+12,,
No event,-0.59,0.05,0.9,0,1.56143E+12,,
No event,-0.73,-0.52,0.74,0,1.56143E+12,,
Turn,-0.6,0.45,0.68,0,1.56143E+12,0,0
No event,-0.85,-0.05,0.3,0,1.56143E+12,,
No event,-1.6,0.04,0.52,0,1.56143E+12,,
Turn,-0.69,0.04,0.75,0,1.56143E+12,0,0
No event,-0.69,-0.04,1.86,0,1.56143E+12,,
No event,-0.29,0,2.38,0,1.56143E+12,,
No event,-0.02,-0.31,1.05,0,1.56143E+12,,
No event,-0.62,-0.07,0.61,0,1.56143E+12,,
No event,-1.03,-0.13,-0.56,0,1.56143E+12,,
Turn,-0.76,0.61,-0.42,0,1.56143E+12,0,0
Acceleration,-1.24,0,-1.04,0,1.56143E+12,0,0
No event,-0.96,-0.06,-0.75,0,1.56143E+12,,
Turn,-0.82,-0.19,-0.64,0,1.56143E+12,0,0
No event,-0.77,0.03,-0.64,0,1.56143E+12,,
No event,-0.78,-0.03,-0.62,0,1.56143E+12,,
No event,-0.29,0.05,-0.71,0,1.56143E+12,,
No event,-0.09,-0.18,-0.76,0,1.56143E+12,,
No event,0.36,-0.07,-0.87,0,1.56143E+12,,
No event,0.34,0.01,-0.76,0,1.56143E+12,,
No event,-0.02,-0.02,-0.63,0,1.56143E+12,,
No event,0.05,0.01,-0.37,0,1.56143E+12,0,0
No event,-0.25,0.08,0.24,0,1.56143E+12,,
No event,0.41,0.14,0.44,0,1.56143E+12,,
No event,0.33,-0.04,1.32,0,1.56143E+12,,
No event,0.21,0.13,1.3,0,1.56143E+12,,
No event,-0.04,0.14,1.71,0,1.56143E+12,,
No event,0.04,-0.02,1.54,0,1.56143E+12,,
No event,0.03,0.04,0.24,0,1.56143E+12,,
No event,0.01,-0.02,0.08,0,1.56143E+12,,
No event,-0.09,-0.02,-0.73,0,1.56143E+12,,
No event,-0.01,0.01,-0.91,0,1.56143E+12,,
No event,-0.05,0,-0.82,0,1.56143E+12,,
No event,-0.1,-0.06,-0.28,0,1.56143E+12,,
No event,-0.1,0.21,-0.27,0,1.56143E+12,,
No event,-0.05,0.15,0.34,0,1.56143E+12,,
No event,-0.01,0.05,0.91,0,1.56143E+12,,
No event,-0.05,-0.04,-0.14,0,1.56143E+12,,
No event,-0.11,-0.07,-0.83,0,1.56143E+12,,
No event,-0.18,0.06,-1.02,0,1.56143E+12,,
No event,-0.04,-0.06,-0.69,0,1.56143E+12,,
No event,0.04,-0.05,-0.59,0,1.56143E+12,,
No event,0.09,0.04,-0.57,0,1.56143E+12,,
No event,-0.2,0.18,-1.08,0,1.56143E+12,,
No event,0.14,-0.13,-0.02,0,1.56143E+12,,
No event,-0.03,0,-0.01,0,1.56143E+12,,
No event,0,0.02,-0.46,0,1.56143E+12,,
No event,-0.06,0.09,-0.74,0,1.56143E+12,,
No event,-0.31,0.05,-0.77,0,1.56143E+12,,
No event,-0.03,0.12,-0.66,0,1.56143E+12,,
No event,0.13,0.01,-0.71,0,1.56143E+12,,
No event,-0.04,0.09,-0.72,0,1.56143E+12,,
No event,0.07,-0.13,-0.78,0,1.56143E+12,,
No event,0,0.15,-0.22,0,1.56143E+12,0,0
No event,-0.44,0.12,-0.07,0,1.56143E+12,,
No event,-0.28,-0.14,-0.2,0,1.56143E+12,,
No event,-0.31,0.12,-0.26,0,1.56143E+12,,
No event,-0.39,-0.03,-0.12,0,1.56143E+12,,
No event,-0.24,0.03,0.24,0,1.56143E+12,,
No event,-0.08,0.18,0.29,0,1.56143E+12,,
No event,-0.5,-0.15,0,0,1.56143E+12,,
No event,-0.36,-0.05,0.01,0,1.56143E+12,,
No event,0.23,0.01,0.26,0,1.56143E+12,,
No event,0.23,-0.02,1.36,0,1.56143E+12,,
No event,0.22,0.07,0.88,0,1.56143E+12,,
No event,-0.09,-0.23,0.36,0,1.56143E+12,,
No event,0.25,0.16,0.79,0,1.56143E+12,,
No event,-0.55,0.08,-0.14,0,1.56143E+12,,
No event,0.1,-0.1,-1.03,0,1.56143E+12,,
No event,-0.35,-0.12,-0.69,0,1.56143E+12,,
No event,-0.21,-0.12,0.23,0,1.56143E+12,,
No event,-0.12,0.12,0.4,0,1.56143E+12,,
No event,-0.43,0.02,0.62,0,1.56143E+12,,
No event,-0.67,0.06,0.39,0,1.56143E+12,,
No event,-0.59,-0.06,-0.41,0,1.56143E+12,,
No event,-0.7,-0.07,-0.91,0,1.56143E+12,,
No event,-0.44,-0.08,-0.45,0,1.56143E+12,,
No event,-0.24,0.04,-0.83,0,1.56143E+12,,
No event,0.11,-0.04,-0.69,0,1.56143E+12,,
No event,0.34,-0.18,-0.65,0,1.56143E+12,,
No event,0.72,0.02,-0.58,0,1.56143E+12,,
No event,0.07,0.09,0.18,0,1.56143E+12,,
No event,0.35,0.17,-0.3,0,1.56143E+12,,
No event,0.79,0.09,-0.59,0,1.56143E+12,,
No event,0.43,-0.11,-0.49,0,1.56143E+12,,
No event,0.27,-0.17,-0.78,0,1.56143E+12,,
No event,0.61,-0.05,-0.4,0,1.56143E+12,,
No event,0.21,-0.13,0.08,0,1.56143E+12,,
No event,0.44,0.1,-0.03,0,1.56143E+12,,
No event,0.49,-0.16,0,0,1.56143E+12,,
No event,0.25,0.37,-0.14,0,1.56143E+12,,
No event,-0.17,-0.1,-0.16,0,1.56143E+12,,
No event,0.55,0.07,-0.03,0,1.56143E+12,,
No event,0.25,-0.04,-0.02,0,1.56143E+12,,
No event,0.55,-0.1,0.03,0,1.56143E+12,,
No event,0.45,-0.04,-0.23,0,1.56143E+12,,
No event,0.16,-0.06,0.24,0,1.56143E+12,,
No event,-0.12,0.31,-0.12,0,1.56143E+12,,
No event,0.21,-0.16,0.26,0,1.56143E+12,,
No event,0.05,0.21,0.14,0,1.56143E+12,,
No event,0.05,-0.01,0.13,0,1.56143E+12,,
No event,0.78,-0.09,-0.02,0,1.56143E+12,,
No event,-0.16,0.22,-0.23,0,1.56143E+12,,
No event,0.2,-0.21,-0.04,0,1.56143E+12,,
No event,0.16,-0.24,0.12,0,1.56143E+12,,
No event,0.31,0.35,0.17,0,1.56143E+12,,
No event,-0.29,-0.07,-0.1,0,1.56143E+12,,
No event,-0.03,-0.01,0,0,1.56143E+12,,
No event,-0.11,-0.05,0.35,0,1.56143E+12,,
No event,-0.24,-0.57,0.2,0,1.56143E+12,,
No event,-0.22,0.47,-0.03,0,1.56143E+12,,
No event,0.59,-0.15,-0.07,0,1.56143E+12,,
No event,-0.28,-0.05,0.04,0,1.56143E+12,,
No event,0.01,-0.07,-0.13,0,1.56143E+12,,
No event,-0.36,0.11,-0.03,0,1.56143E+12,,
No event,0.47,0.12,0.42,0,1.56143E+12,,
No event,0.41,-0.13,0.46,0,1.56143E+12,,
No event,0.44,0.05,0.32,0,1.56143E+12,,
No event,0.49,0.01,0.87,0,1.56143E+12,,
No event,0.69,0.05,1.04,0,1.56143E+12,,
No event,0.36,0.2,1.6,0,1.56143E+12,,
No event,0.56,0.11,1.31,0,1.56143E+12,,
No event,0.11,0.01,0.42,0,1.56143E+12,,
No event,0.08,0.14,0.64,0,1.56143E+12,,
No event,0.05,0.01,0.32,0,1.56143E+12,,
No event,0.06,0.01,0.11,0,1.56143E+12,,
No event,-0.08,0.06,-0.4,0,1.56143E+12,,
No event,0.03,0.07,0.23,0,1.56143E+12,,
No event,0.32,-0.02,-0.18,0,1.56143E+12,,
No event,-0.47,0.16,-0.26,0,1.56143E+12,,
No event,0.69,-0.16,-0.48,0,1.56143E+12,,
No event,0.19,0.11,-0.57,0,1.56143E+12,,
No event,0.27,-0.03,-0.74,0,1.56143E+12,,
No event,0.12,-0.12,-0.36,0,1.56143E+12,0,0
No event,-0.19,0.1,0.04,0,1.56143E+12,,
No event,0.37,-0.43,-0.16,0,1.56143E+12,,
No event,0.27,0.27,-0.54,0,1.56143E+12,,
No event,0.32,-0.13,-0.6,0,1.56143E+12,,
No event,0.27,-0.18,-0.54,0,1.56143E+12,,
No event,-0.02,-0.03,-0.9,0,1.56143E+12,,
No event,0.4,0.01,-0.61,0,1.56143E+12,,
No event,-0.2,-0.04,-0.26,0,1.56143E+12,,
No event,0.48,0.06,0.07,0,1.56143E+12,,
No event,0.41,0.1,-0.22,0,1.56143E+12,,
No event,0.04,-0.04,-0.26,0,1.56143E+12,,
No event,0.31,0.17,-0.33,0,1.56143E+12,,
No event,-0.09,-0.13,-0.5,0,1.56143E+12,,
No event,0.11,0.08,-0.25,0,1.56143E+12,,
No event,0.27,0.06,-0.35,0,1.56143E+12,,
No event,-0.13,-0.08,-0.38,0,1.56143E+12,,
No event,-0.71,0.57,-0.55,0,1.56143E+12,,
No event,0.02,0.12,-0.42,0,1.56143E+12,,
No event,-0.11,0.12,-0.45,0,1.56143E+12,,
No event,0.09,-0.04,-0.32,0,1.56143E+12,,
No event,0.35,-0.36,-0.11,0,1.56143E+12,,
No event,0.19,-0.02,-0.23,0,1.56143E+12,,
